Query,Execution Time (ms)
1,18.1272029876709
1,35.794973373413086
1,32.42921829223633
1,40.0998592376709
1,64.16916847229004
1,33.53595733642578
1,111.53674125671387
2,37.77313232421875
2,44.53587532043457
2,76.36809349060059
2,83.8479995727539
2,90.64388275146484
2,96.54498100280762
2,79.5447826385498
3,110.87918281555176
3,29.649972915649414
3,31.88800811767578
3,33.33687782287598
3,36.16786003112793
3,24.306058883666992
3,40.2069091796875
4,40.647268295288086
4,23.58388900756836
4,116.49107933044434
4,40.83108901977539
4,44.656991958618164
4,30.533790588378906
4,28.57494354248047
5,34.54279899597168
5,27.77099609375
5,37.96505928039551
5,28.630971908569336
5,27.399778366088867
5,27.602195739746094
5,29.688119888305664
6,20.190000534057617
6,105.9730052947998
6,27.772903442382812
6,37.412166595458984
6,39.443254470825195
6,41.63408279418945
6,87.2201919555664
7,28.308868408203125
7,28.880834579467773
7,34.77215766906738
7,36.00001335144043
7,27.92215347290039
7,28.70917320251465
7,31.567096710205078
8,25.567054748535156
8,95.03531455993652
8,30.75385093688965
8,53.25007438659668
8,33.22410583496094
8,46.08511924743652
8,47.32394218444824
9,35.033226013183594
9,28.545141220092773
9,47.6987361907959
9,30.705690383911133
9,31.142711639404297
9,25.784015655517578
9,25.691986083984375
10,37.57214546203613
10,32.72199630737305
10,24.760007858276367
10,73.54998588562012
10,19.457101821899414
10,33.52689743041992
10,50.35901069641113
11,24.557113647460938
11,15.877962112426758
11,27.767181396484375
11,16.81208610534668
11,32.22203254699707
11,33.42580795288086
11,39.151906967163086
12,21.544933319091797
12,22.343158721923828
12,12.737035751342773
12,43.50018501281738
12,52.30402946472168
12,53.66086959838867
12,21.87514305114746
13,15.105009078979492
13,27.31633186340332
13,27.070999145507812
13,14.789104461669922
13,31.06999397277832
13,31.988859176635742
13,26.664018630981445
14,45.88794708251953
14,12.767791748046875
14,30.46870231628418
14,17.535924911499023
14,29.851198196411133
14,29.968976974487305
14,30.2581787109375
15,44.84391212463379
15,31.4481258392334
15,18.58210563659668
15,26.243925094604492
15,19.655942916870117
15,21.228790283203125
15,20.74599266052246
16,17.448902130126953
16,42.814016342163086
16,15.667915344238281
16,47.30629920959473
16,16.85500144958496
16,17.277956008911133
16,16.97683334350586
17,11.71112060546875
17,20.067214965820312
17,12.566089630126953
17,32.14001655578613
17,19.939184188842773
17,22.95088768005371
17,21.255970001220703
18,39.923906326293945
18,36.72218322753906
18,15.872955322265625
18,29.495954513549805
18,24.190187454223633
18,25.72011947631836
18,24.958133697509766
19,16.395092010498047
19,12.540817260742188
19,22.702932357788086
19,17.51708984375
19,14.040231704711914
19,14.07623291015625
19,14.09006118774414
20,17.843961715698242
20,21.178007125854492
20,17.8530216217041
20,14.564275741577148
20,16.46900177001953
20,36.07606887817383
20,36.01980209350586
21,34.4088077545166
21,21.20208740234375
21,39.19100761413574
21,18.980979919433594
21,17.792940139770508
21,18.546104431152344
21,49.86310005187988
22,16.609907150268555
22,24.45220947265625
22,48.63882064819336
22,18.179893493652344
22,12.773752212524414
22,27.53305435180664
22,34.93618965148926
23,12.103080749511719
23,12.303829193115234
23,18.54419708251953
23,14.234781265258789
23,11.393070220947266
23,26.808977127075195
23,23.003816604614258
24,14.930248260498047
24,13.37289810180664
24,15.556097030639648
24,27.01401710510254
24,14.029979705810547
24,9.190797805786133
24,36.79990768432617
25,21.01302146911621
25,16.922712326049805
25,17.835140228271484
25,13.210296630859375
25,14.042854309082031
25,36.005258560180664
25,14.747142791748047
26,17.847061157226562
26,30.241012573242188
26,20.891189575195312
26,20.29109001159668
26,20.420074462890625
26,21.51799201965332
26,19.949913024902344
27,11.847972869873047
27,93.60718727111816
27,25.461912155151367
27,22.614002227783203
27,22.45807647705078
27,23.49996566772461
27,24.391889572143555
28,45.683860778808594
28,26.097774505615234
28,17.80390739440918
28,12.967824935913086
28,21.80194854736328
28,34.76595878601074
28,19.150257110595703
29,11.542797088623047
29,15.254020690917969
29,19.05512809753418
29,15.750885009765625
29,16.273975372314453
29,42.32287406921387
29,15.715837478637695
30,16.455888748168945
30,17.378807067871094
30,18.511056900024414
30,38.73300552368164
30,39.417266845703125
30,17.53067970275879
30,12.770891189575195
31,9.79304313659668
31,30.8837890625
31,13.607025146484375
31,15.28477668762207
31,15.302896499633789
31,16.145944595336914
31,17.157793045043945
32,21.08168601989746
32,13.31472396850586
32,9.639739990234375
32,11.633157730102539
32,11.861085891723633
32,13.149023056030273
32,12.240171432495117
33,9.442806243896484
33,14.17088508605957
33,20.97797393798828
33,14.808177947998047
33,15.06185531616211
33,14.828920364379883
33,24.480104446411133
34,27.935028076171875
34,23.881912231445312
34,54.14772033691406
34,24.74212646484375
34,28.615951538085938
34,14.499902725219727
34,14.477968215942383
35,58.92491340637207
35,29.448986053466797
35,17.034053802490234
35,31.10027313232422
35,28.543949127197266
35,52.97422409057617
35,19.988059997558594
36,18.65696907043457
36,14.860868453979492
36,54.05402183532715
36,41.932106018066406
36,31.267881393432617
36,38.52105140686035
36,30.04598617553711
37,37.371158599853516
37,17.47894287109375
37,33.818960189819336
37,43.479204177856445
37,17.533063888549805
37,16.198158264160156
37,18.219709396362305
38,28.717994689941406
38,24.353981018066406
38,33.58602523803711
38,29.065847396850586
38,17.880916595458984
38,16.336917877197266
38,40.216922760009766
39,23.65422248840332
39,10.162830352783203
39,42.040109634399414
39,21.651029586791992
39,43.853044509887695
39,17.1048641204834
39,32.47213363647461
40,31.677961349487305
40,14.342784881591797
40,141.10612869262695
40,29.098987579345703
40,19.79994773864746
40,18.583059310913086
40,24.74212646484375
41,11.749982833862305
41,17.998933792114258
41,15.486955642700195
41,21.975040435791016
41,13.72385025024414
41,32.14311599731445
41,21.192073822021484
42,18.54109764099121
42,12.305259704589844
42,17.21978187561035
42,87.37802505493164
42,30.04002571105957
42,16.980886459350586
42,17.806053161621094
43,26.18408203125
43,18.25094223022461
43,35.70127487182617
43,13.914108276367188
43,50.33588409423828
43,20.714998245239258
43,20.409107208251953
44,21.51203155517578
44,42.97804832458496
44,17.528057098388672
44,38.49983215332031
44,12.866973876953125
44,15.919923782348633
44,16.133785247802734
45,17.63296127319336
45,23.248910903930664
45,16.345739364624023
45,31.351804733276367
45,15.416145324707031
45,15.990018844604492
45,16.385793685913086
46,34.59596633911133
46,18.358707427978516
46,14.17684555053711
46,17.42267608642578
46,59.832096099853516
46,16.797304153442383
46,42.497873306274414
47,17.90904998779297
47,27.518033981323242
47,17.917871475219727
47,17.958879470825195
