Query;Execution Time (ms);Common count
205;96.23193740844727;12600
206;99.86114501953125;12600
207;88.9742374420166;12600
208;95.75986862182617;12600
209;43.05100440979004;12600
210;89.83612060546875;12600
211;97.78690338134766;12600
212;92.76103973388672;12600
213;91.21012687683105;12600
214;103.86896133422852;12600
215;81.15196228027344;12600
216;33.00786018371582;12600
217;99.52116012573242;12600
218;97.18871116638184;12600
219;109.79723930358887;12600
220;82.77297019958496;12600
221;88.1950855255127;12600
222;100.93998908996582;12600
223;105.35311698913574;12600
224;88.76490592956543;12600
225;102.43916511535645;12600
226;98.8459587097168;12600
227;101.45187377929688;12600
228;94.98906135559082;12600
229;98.2658863067627;12600
230;32.511234283447266;12600
231;94.45905685424805;12600
232;103.14011573791504;12600
233;95.53670883178711;12600
234;97.6719856262207;12600
235;120.72134017944336;12600
236;62.02101707458496;12600
237;111.62114143371582;12600
238;88.24396133422852;12600
239;96.99797630310059;12600
240;97.1529483795166;12600
241;115.40603637695312;12600
242;107.13505744934082;12600
243;82.80420303344727;12600
244;92.98586845397949;12600
245;41.37396812438965;12600
246;165.10009765625;12600
247;97.31411933898926;12600
248;98.46711158752441;12600
249;97.1670150756836;12600
250;40.13514518737793;12600
251;88.11020851135254;12600
252;90.00992774963379;12600
253;99.49588775634766;12600
254;88.81783485412598;12600
255;93.49608421325684;12600
256;36.33308410644531;12600
257;94.32196617126465;12600
258;46.645164489746094;12600
259;51.77021026611328;12600
260;101.25899314880371;12600
261;77.13985443115234;12600
262;94.18296813964844;12600
263;38.18392753601074;12600
264;94.3901538848877;12600
265;100.96883773803711;12600
266;93.16611289978027;12600
267;104.90703582763672;12600
268;82.36408233642578;12600
269;126.4650821685791;12600
270;114.93492126464844;12600
271;63.86113166809082;12600
272;88.23895454406738;12600
273;29.237031936645508;12600
274;88.67502212524414;12600
275;86.53593063354492;12600
276;85.27112007141113;12600
277;29.58393096923828;12600
278;97.36394882202148;12600
279;101.75299644470215;12600
280;112.31398582458496;12600
281;117.31314659118652;12600
282;80.98101615905762;12600
283;78.66382598876953;12600
284;93.37711334228516;12600
285;94.70534324645996;12600
286;31.117677688598633;12600
287;99.72190856933594;12600
288;94.71368789672852;12600
289;74.54109191894531;12600
290;27.685165405273438;12600
291;102.9660701751709;12600
292;80.05976676940918;12600
293;120.1331615447998;12600
294;82.47113227844238;12600
295;106.67586326599121;12600
296;95.46804428100586;12600
297;100.7699966430664;12600
298;89.41388130187988;12600
299;97.21612930297852;12600
300;96.86708450317383;12600
301;94.42496299743652;12600
302;45.516014099121094;12600
303;107.90610313415527;12600
304;109.3900203704834;12600
305;73.88973236083984;12600
306;74.64432716369629;12600
307;93.06120872497559;12600
308;34.832000732421875;12600
309;101.50289535522461;12600
310;86.8980884552002;12600
311;103.38616371154785;12600
312;90.34371376037598;12600
313;95.95274925231934;12600
314;88.40513229370117;12600
315;34.391164779663086;12600
316;161.92984580993652;12600
317;98.5269546508789;12600
318;34.33418273925781;12600
